+-----------------------------------------------------------------------------------------------------------------------+
| key                                           | types                        | occurrences | percents                 |
| foot                                          | String                       |         145 |   0.00935123697517794769 |
| address.housename                             | String                       |         141 |   0.00909327181724200496 |
| tower                                         | Object                       |         131 |   0.00844835892240214555 |
| tower.type                                    | String                       |         131 |   0.00844835892240214555 |
| name.name                                     | String                       |         121 |   0.00780344602756228699 |
| seamark.buoy_lateral                          | Object                       |         117 |   0.00754548086962634427 |
| seamark.buoy_lateral.category                 | String                       |         117 |   0.00754548086962634427 |
| seamark.buoy_lateral.colour                   | String                       |         117 |   0.00754548086962634427 |
| seamark.buoy_lateral.shape                    | String                       |         117 |   0.00754548086962634427 |
| seamark.buoy_lateral.system                   | String                       |         117 |   0.00754548086962634427 |
| sport                                         | String                       |         111 |   0.00715853313272242844 |
| office                                        | String                       |         109 |   0.00702955055375445708 |
| dispensing                                    | String                       |          99 |   0.00638463765891459853 |
| sloped_curb                                   | String                       |          97 |   0.00625565507994662717 |
| old_name                                      | String                       |          89 |   0.00573972476407473998 |
| description                                   | String (82),Object (5)       |          87 |   0.00561074218510676861 |
| emergency                                     | String                       |          86 |   0.00554625089562278250 |
| motorcar                                      | String                       |          86 |   0.00554625089562278250 |
| name.en                                       | String                       |          85 |   0.00548175960613879725 |
| name.pt                                       | String                       |          83 |   0.00535277702717082502 |
| parking                                       | String                       |          81 |   0.00522379444820285366 |
| bus                                           | String                       |          75 |   0.00483684671129893870 |
| alt_name                                      | String                       |          74 |   0.00477235542181495258 |
| IPP.Codigo                                    | String                       |          73 |   0.00470786413233096647 |
| landuse                                       | String                       |          73 |   0.00470786413233096647 |
| url                                           | String                       |          69 |   0.00444989897439502374 |
| disused                                       | String (9),Object (58)       |          67 |   0.00432091639542705151 |
| motorcycle                                    | String                       |          66 |   0.00425642510594306540 |
| seamark.buoy_special_purpose                  | Object                       |          65 |   0.00419193381645908015 |
| seamark.buoy_special_purpose.colour           | String                       |          65 |   0.00419193381645908015 |
| seamark.buoy_special_purpose.shape            | String                       |          65 |   0.00419193381645908015 |
| level                                         | String                       |          64 |   0.00412744252697509403 |
| address.place                                 | String                       |          62 |   0.00399845994800712267 |
| is_in                                         | Object (48),String (13)      |          61 |   0.00393396865852313656 |
| layer                                         | String                       |          60 |   0.00386947736903915087 |
| train                                         | String                       |          59 |   0.00380498607955516476 |
| IPP.FONTE                                     | String                       |          58 |   0.00374049479007117908 |
| IPP.RAMAL                                     | String                       |          58 |   0.00374049479007117908 |
| email                                         | String                       |          58 |   0.00374049479007117908 |
| IPP.CODESTFERR                                | String                       |          57 |   0.00367600350058719339 |
| disused.railway                               | String                       |          57 |   0.00367600350058719339 |
| seamark.fishing_facility                      | Object                       |          56 |   0.00361151221110320728 |
| seamark.fishing_facility.category             | String                       |          56 |   0.00361151221110320728 |
| bicycle_parking.bicycle_parking               | String                       |          54 |   0.00348252963213523548 |
| bicycle_parking.pt                            | String                       |          54 |   0.00348252963213523548 |
| seamark.light.range                           | String                       |          52 |   0.00335354705316726412 |
| internet_access                               | Object (7),String (41)       |          48 |   0.00309558189523132053 |
| toilets                                       | Object                       |          47 |   0.00303109060574733484 |
| contact                                       | Object                       |          46 |   0.00296659931626334873 |
| seamark.light.height                          | String                       |          45 |   0.00290210802677936305 |
| contact.phone                                 | String                       |          43 |   0.00277312544781139125 |
| smoking                                       | String                       |          43 |   0.00277312544781139125 |
| seamark.light.reference                       | String                       |          42 |   0.00270863415832740557 |
| takeaway                                      | String                       |          41 |   0.00264414286884341945 |
| exit_to                                       | String                       |          40 |   0.00257965157935943377 |
| wood                                          | String                       |          40 |   0.00257965157935943377 |
| IPP.Telefone                                  | String                       |          39 |   0.00251516028987544809 |
| backrest                                      | String                       |          39 |   0.00251516028987544809 |
| short_name                                    | String                       |          39 |   0.00251516028987544809 |
| surface                                       | String                       |          38 |   0.00245066900039146197 |
| seamark.landmark                              | Object                       |          37 |   0.00238617771090747629 |
| seamark.mooring                               | Object                       |          37 |   0.00238617771090747629 |
| seamark.mooring.category                      | String                       |          37 |   0.00238617771090747629 |
| wikipedia                                     | String (35),Object (2)       |          37 |   0.00238617771090747629 |
| IPP.Endereco                                  | String                       |          36 |   0.00232168642142349061 |
| country                                       | String                       |          36 |   0.00232168642142349061 |
| diplomatic                                    | String                       |          36 |   0.00232168642142349061 |
| craft                                         | String                       |          35 |   0.00225719513193950450 |
| wikimapa                                      | Object                       |          35 |   0.00225719513193950450 |
| wikimapa.author                               | String                       |          35 |   0.00225719513193950450 |
| horse                                         | String                       |          34 |   0.00219270384245551881 |
| information                                   | String                       |          34 |   0.00219270384245551881 |
| aerialway                                     | Object (3),String (29)       |          32 |   0.00206372126348754702 |
| id.id                                         | String                       |          32 |   0.00206372126348754702 |
| phone.2                                       | String                       |          32 |   0.00206372126348754702 |
| phone.phone                                   | String                       |          32 |   0.00206372126348754702 |
| seamark.light.group                           | String                       |          32 |   0.00206372126348754702 |
| target                                        | String                       |          32 |   0.00206372126348754702 |
| toilets.disposal                              | String                       |          31 |   0.00199922997400356134 |
| id.clearchannel                               | String                       |          30 |   0.00193473868451957544 |
| delivery                                      | String                       |          29 |   0.00187024739503558954 |
| population                                    | String                       |          29 |   0.00187024739503558954 |
| seamark.wreck                                 | Object                       |          29 |   0.00187024739503558954 |
| seamark.wreck.category                        | String                       |          29 |   0.00187024739503558954 |
| maxheight                                     | String (26),Object (2)       |          28 |   0.00180575610555160364 |
| seamark.landmark.category                     | String                       |          28 |   0.00180575610555160364 |
| direction                                     | String                       |          27 |   0.00174126481606761774 |
| drive_through                                 | String                       |          27 |   0.00174126481606761774 |
| lit                                           | String                       |          27 |   0.00174126481606761774 |
| local_ref                                     | String                       |          27 |   0.00174126481606761774 |
| seamark.buoy_special_purpose.category         | String                       |          27 |   0.00174126481606761774 |
| station                                       | String                       |          27 |   0.00174126481606761774 |
| subway                                        | String                       |          27 |   0.00174126481606761774 |
| census                                        | String                       |          25 |   0.00161228223709964616 |
| is_in.city                                    | String                       |          25 |   0.00161228223709964616 |
| wikidata                                      | String                       |          25 |   0.00161228223709964616 |
| artwork_type                                  | String                       |          24 |   0.00154779094761566026 |
| fuel                                          | Object                       |          24 |   0.00154779094761566026 |
| is_in.state                                   | String                       |          24 |   0.00154779094761566026 |
| FIXME                                         | String                       |          23 |   0.00148329965813167436 |
| IBGE                                          | Object                       |          23 |   0.00148329965813167436 |
