+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| destination                                         | String (159),Object (33)     |         192 |   0.1030147922803290039 |
| wheelchair                                          | String (189),Object (1)      |         190 |   0.1019417215274089072 |
| religion                                            | String                       |         185 |   0.0992590446451086794 |
| maxheight                                           | String (177),Object (6)      |         183 |   0.0981859738921885827 |
| start_date                                          | String                       |         172 |   0.0922840847511280649 |
| source.name                                         | String                       |         170 |   0.0912110139982079682 |
| frequency                                           | String                       |         166 |   0.0890648724923677887 |
| usage                                               | String                       |         159 |   0.0853091248571474503 |
| water                                               | String                       |         158 |   0.0847725894806874158 |
| boat                                                | String                       |         145 |   0.0777976295867068013 |
| denomination                                        | String                       |         145 |   0.0777976295867068013 |
| brand                                               | String                       |         133 |   0.0713592050691862351 |
| wikipedia                                           | String (120),Object (13)     |         133 |   0.0713592050691862351 |
| seamark                                             | Object                       |         129 |   0.0692130635633460556 |
| seamark.type                                        | String                       |         129 |   0.0692130635633460556 |
| footway                                             | String                       |         126 |   0.0676034574339659106 |
| public_transport                                    | String                       |         125 |   0.0670669220575058622 |
| smoothness                                          | String                       |         125 |   0.0670669220575058622 |
| url                                                 | String                       |         125 |   0.0670669220575058622 |
| width                                               | String                       |         125 |   0.0670669220575058622 |
| parking.condition.left                              | String (111),Object (4)      |         115 |   0.0617015682929053927 |
| source.source                                       | String                       |         110 |   0.0590188914106051579 |
| noexit                                              | String                       |         109 |   0.0584823560341451096 |
| name.name                                           | String                       |         100 |   0.0536535376460046884 |
| building.part                                       | String                       |          99 |   0.0531170022695446400 |
| fee                                                 | String                       |          98 |   0.0525804668930845986 |
| proposed                                            | String (23),Object (75)      |          98 |   0.0525804668930845986 |
| IPP.Codigo                                          | String                       |          95 |   0.0509708607637044536 |
| embankment                                          | String                       |          93 |   0.0498977900107843639 |
| min_height                                          | String                       |          93 |   0.0498977900107843639 |
| loc_name                                            | String                       |          90 |   0.0482881838814042189 |
| building.colour                                     | String                       |          88 |   0.0472151131284841291 |
| short_name                                          | String                       |          88 |   0.0472151131284841291 |
| maxspeed.maxspeed                                   | String                       |          84 |   0.0450689716226439357 |
| maxspeed.hgv                                        | String                       |          83 |   0.0445324362461838943 |
| IPP.Fonte                                           | String                       |          82 |   0.0439959008697238460 |
| parking.condition.both                              | String (78),Object (4)       |          82 |   0.0439959008697238460 |
| placement                                           | String                       |          77 |   0.0413132239874236112 |
| cuisine                                             | String                       |          76 |   0.0407766886109635629 |
